strategy,carry_ann,roll_ann,repricing_ann,convexity_ann,funding_ann,cost_ann,total_ann
V3_G3_core_short_dv01_cost_hurdle,0.0232,0.0044,0.0099,0.0004,-0.0162,-0.0001,0.0216
G3_core_short_dv01,0.0232,0.0043,0.0089,0.0005,-0.0161,-0.0002,0.0207
V3_G3_core_short_dv01_quarterly,0.023,0.0042,0.0087,0.0003,-0.0161,-0.0001,0.02
V3_G3_core_short_dv01_quarterly_smooth,0.0227,0.0042,0.0085,0.0003,-0.0159,-0.0001,0.0196
V3_G3_core_short_dv01_smooth_a035_b05,0.0227,0.0043,0.0081,0.0003,-0.0159,-0.0001,0.0196
V3_G1_sparse_core_vol_cost_hurdle,0.0224,0.0043,0.0066,0.0005,-0.016,-0.0,0.0178
V3_G2_sparse_core_dv01_cost_hurdle,0.0224,0.0043,0.0064,0.0006,-0.016,-0.0,0.0176
V3_G4_core_tail_es_cost_hurdle,0.0222,0.0042,0.0059,0.0005,-0.016,-0.0,0.0168
V3_G1_sparse_core_vol_quarterly,0.022,0.0039,0.0052,0.0005,-0.0161,-0.0,0.0155
V3_G1_sparse_core_vol_quarterly_smooth,0.0218,0.004,0.005,0.0005,-0.0159,-0.0,0.0152
G1_sparse_core_vol,0.0222,0.0041,0.0044,0.0005,-0.0161,-0.0001,0.015
V3_G4_core_tail_es_quarterly,0.0218,0.0038,0.0051,0.0004,-0.0161,-0.0,0.015
V3_G1_sparse_core_vol_smooth_a035_b05,0.0218,0.004,0.0045,0.0005,-0.0159,-0.0,0.0149
G2_sparse_core_dv01,0.0222,0.004,0.0043,0.0005,-0.0161,-0.0001,0.0148
G4_core_tail_es,0.022,0.0039,0.0045,0.0005,-0.0161,-0.0001,0.0148
V3_G2_sparse_core_dv01_quarterly,0.0219,0.0039,0.0045,0.0005,-0.0161,-0.0,0.0147
V3_G2_sparse_core_dv01_smooth_a035_b05,0.0218,0.004,0.0043,0.0005,-0.0159,-0.0,0.0147
V3_G2_sparse_core_dv01_quarterly_smooth,0.0217,0.0039,0.0044,0.0005,-0.0159,-0.0,0.0146
V3_G4_core_tail_es_quarterly_smooth,0.0216,0.0038,0.0047,0.0005,-0.0159,-0.0,0.0145
V3_G4_core_tail_es_smooth_a035_b05,0.0216,0.0039,0.0043,0.0005,-0.0159,-0.0,0.0143
