name,cost_model,n,ann_ret,ann_vol,Sharpe,MaxDD,hit_rate,ann_turnover,avg_cost_bps_ann,ann_mean,NW_t,variant_type
V3_G1_sparse_core_vol_cost_hurdle_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0178,0.0309,0.5764,-0.1468,0.4468,1.648,0.4468,0.0178,2.591,V3 controlled
V3_G3_core_short_dv01_smooth_a035_b05_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0196,0.034,0.5752,-0.1342,0.4447,3.4031,0.924,0.0196,2.705,V3 controlled
V3_G4_core_tail_es_cost_hurdle_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0168,0.0292,0.5746,-0.1468,0.4468,1.6831,0.457,0.0168,2.5732,V3 controlled
V3_G3_core_short_dv01_cost_hurdle_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0216,0.038,0.5685,-0.1331,0.4468,3.4624,0.8834,0.0216,2.7735,V3 controlled
V3_G2_sparse_core_dv01_cost_hurdle_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0176,0.031,0.5665,-0.1537,0.4468,1.6497,0.4472,0.0176,2.5303,V3 controlled
V3_G4_core_tail_es_quarterly_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.015,0.0264,0.5657,-0.1374,0.4404,1.4498,0.4088,0.015,2.493,V3 controlled
V3_G1_sparse_core_vol_quarterly_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0155,0.0274,0.5638,-0.1435,0.4404,1.4372,0.4059,0.0155,2.485,V3 controlled
V3_G3_core_short_dv01_quarterly_smooth_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0196,0.0348,0.563,-0.131,0.4447,3.2782,0.9386,0.0196,2.7057,V3 controlled
V3_G3_core_short_dv01_quarterly_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.02,0.0355,0.5628,-0.1334,0.4468,3.5694,1.0101,0.02,2.7374,V3 controlled
V3_G1_sparse_core_vol_quarterly_smooth_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0152,0.0276,0.5524,-0.1459,0.4404,1.3251,0.3796,0.0152,2.4291,V3 controlled
V3_G1_sparse_core_vol_smooth_a035_b05_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0149,0.027,0.5512,-0.1486,0.4362,1.3538,0.3701,0.0149,2.4114,V3 controlled
V3_G4_core_tail_es_quarterly_smooth_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0145,0.0265,0.5495,-0.1419,0.4383,1.3228,0.3775,0.0145,2.4165,V3 controlled
V3_G4_core_tail_es_smooth_a035_b05_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0143,0.0262,0.5482,-0.1459,0.434,1.3939,0.3816,0.0143,2.4025,V3 controlled
V3_G2_sparse_core_dv01_smooth_a035_b05_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0147,0.027,0.5456,-0.1495,0.4362,1.3527,0.3698,0.0147,2.396,V3 controlled
V3_G2_sparse_core_dv01_quarterly_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0147,0.0272,0.5414,-0.1513,0.4404,1.4551,0.4104,0.0147,2.3819,V3 controlled
G4_core_tail_es_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0148,0.0275,0.5359,-0.1467,0.4447,2.7694,0.7446,0.0148,2.4113,V2/base
V3_G2_sparse_core_dv01_quarterly_smooth_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0146,0.0274,0.5318,-0.1533,0.4404,1.343,0.384,0.0146,2.3377,V3 controlled
G1_sparse_core_vol_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.015,0.0282,0.5316,-0.1529,0.4447,2.4049,0.6409,0.015,2.3713,V2/base
G2_sparse_core_dv01_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0148,0.0279,0.5311,-0.1484,0.4447,2.4199,0.6447,0.0148,2.3959,V2/base
G3_core_short_dv01_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0207,0.0393,0.5263,-0.1334,0.4383,6.0179,1.5999,0.0207,2.6094,V2/base
E_10Y_timing_dynamicTC,corwin_schultz_etf_proxy_half_spread,470,0.0146,0.0477,0.3063,-0.2528,0.2404,0.6894,0.1723,0.0146,1.6776,V2/base
