strategy,test,alpha_ann,alpha_t_NW,R2,condition_number,n
V3_G3_core_short_dv01_cost_hurdle_dynamicTC,curve_factor_LSC,0.0119,2.0531,0.4096,13.4639,470
V3_G3_core_short_dv01_smooth_a035_b05_dynamicTC,curve_factor_LSC,0.0101,1.874,0.4075,13.4639,470
V3_G3_core_short_dv01_quarterly_dynamicTC,curve_factor_LSC,0.0104,1.8674,0.3541,13.4639,470
V3_G3_core_short_dv01_quarterly_smooth_dynamicTC,curve_factor_LSC,0.0099,1.7827,0.3567,13.4639,470
V3_G1_sparse_core_vol_cost_hurdle_dynamicTC,curve_factor_LSC,0.0075,1.6682,0.5606,13.4639,470
V3_G4_core_tail_es_cost_hurdle_dynamicTC,curve_factor_LSC,0.0066,1.5605,0.5737,13.4639,470
V3_G2_sparse_core_dv01_cost_hurdle_dynamicTC,curve_factor_LSC,0.0072,1.5591,0.5604,13.4639,470
V3_G4_core_tail_es_quarterly_dynamicTC,curve_factor_LSC,0.005,1.3159,0.5564,13.4639,470
V3_G1_sparse_core_vol_quarterly_dynamicTC,curve_factor_LSC,0.0052,1.3131,0.55,13.4639,470
V3_G1_sparse_core_vol_quarterly_smooth_dynamicTC,curve_factor_LSC,0.0049,1.2064,0.5536,13.4639,470
V3_G1_sparse_core_vol_smooth_a035_b05_dynamicTC,curve_factor_LSC,0.0048,1.1947,0.5793,13.4639,470
V3_G4_core_tail_es_quarterly_smooth_dynamicTC,curve_factor_LSC,0.0045,1.165,0.5601,13.4639,470
V3_G4_core_tail_es_smooth_a035_b05_dynamicTC,curve_factor_LSC,0.0045,1.1618,0.5853,13.4639,470
V3_G2_sparse_core_dv01_smooth_a035_b05_dynamicTC,curve_factor_LSC,0.0046,1.1441,0.5818,13.4639,470
V3_G2_sparse_core_dv01_quarterly_dynamicTC,curve_factor_LSC,0.0045,1.0936,0.555,13.4639,470
V3_G2_sparse_core_dv01_quarterly_smooth_dynamicTC,curve_factor_LSC,0.0042,1.0163,0.5568,13.4639,470
V3_G3_core_short_dv01_quarterly_dynamicTC,eligible_tenor_span,0.0122,2.0522,0.3574,32.3143,470
V3_G3_core_short_dv01_cost_hurdle_dynamicTC,eligible_tenor_span,0.0115,2.0137,0.4101,32.3143,470
